Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
pphtm,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.95078125,-117.205880167,31,2475,550,372,4032
pphtm,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.95078125,-4.09065061156,8,1205,28,156,1643
pphtm,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.95078125,-3.33101773288,6,1397,13,184,1882
pphtm,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.95078125,-248.6,0,2298,1130,0,4032
pphtm,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.95078125,-88.4036871353,44,2614,411,359,4032
pphtm,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.95078125,-25.1260919014,45,8395,140,990,10320
pphtm,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.95078125,-27.0262400022,24,2894,129,381,4032
pphtm,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.95078125,-24.6287655167,22,3428,120,451,4730
pphtm,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.95078125,-19.406765285,26,2923,100,379,4032
pphtm,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.95078125,-303.16,0,2050,1378,0,4032
Totals,,,,-4689.73396483,2782,277141,22206,30713,365558
